id,name,birth,death,checkpoint,categories,extrainfo
259,"Flinck, Govert",1615,1660,Deliberate 2.0,"Painting, Oil, Portrait, Netherlands, 17th Century",
260,"Flint, Alex Russell",1974,,DreamShaper 3.2,"Painting, Oil, Portrait, UK",
261,"Foksowicz, Piotr",,,DreamShaper 3.2,"Illustration, Concept Art, Game Art, Fantasy, Poland",
262,"Forbes, Stanhope",1857,1947,Deliberate 2.0,"Painting, Oil, Landscape, Ireland, 19th Century",
263,"Fortescue-Brickdale, Eleanor",1872,1945,DreamShaper 3.2,"Painting, Illustration, UK",
264,"Foss, Chris",1946,,DreamShaper 3.2,"Illustration, Painting, Sci-Fi, Guernsey",
265,"Foster, Hal",1892,1982,Deliberate 2.0,"Illustration, Comic, Canada",
266,"Foster, Jon",1941,,Deliberate 2.0,"Illustration, Comic, Cover Art, Game Art, MTG, USA",
267,Fra Angelico,1395,1455,Deliberate 2.0,"Painting, Oil, Tempera, Portrait, Mythology, Italy, 15th Century",
268,"Fraction, Matt",1975,,Deliberate 2.0,"Comic, Marvel, USA",
269,"Fragonard, Jean-Honoré",1732,1806,Deliberate 2.0,"Painting, Oil, Portrait, Rococo, France, 18th Century",
270,"Francavilla, Francesco",1950,,Deliberate 2.0,"Comic, Graphic Novel, DC Comics, Marvel, Cover Art, Italy",
271,"Francesca, Piero della",1410,1492,DreamShaper 3.2,"Painting, Oil, Italy, 15th Century",
272,"Frank, Lisa",1955,,Deliberate 2.0,"Illustration, Rainbow, USA",
273,"Frazetta, Frank",1928,2010,Deliberate 2.0,"Illustration, Fantasy, Sci-Fi, USA",512px + Highres. Fix
274,"Friedrich, Caspar David",1774,1840,Deliberate 2.0,"Painting, Oil, Landscape, Romanticism, Germany, 19th Century",
275,"Friel, Chris",1959,,DreamShaper 3.2,"Photography, Landscape, B&W, UK",
276,"Froud, Brian",1947,,DreamShaper 3.2,"Illustration, Fantasy, Concept Art, Jim Henson, UK",
277,"Fuchs, Ando",,,Deliberate 2.0,"Photography, Portrait, Landscape, B&W, Italy",
278,"Fujita, Goro",,,DreamShaper 3.2,"Illustration, Animation, Character Design, Japan, USA",
279,"Gallagher, Ellen",1965,,Deliberate 2.0,"Painting, Gouache, Watercolor, Collage, Portrait, USA",
280,"Gammell, Stephen",1943,,Deliberate 2.0,"Illustration, Watercolor, Ink, Horror, USA",
281,"Gangloff, Hope",1974,,DreamShaper 3.2,"Painting, Portrait, USA",
282,"Gauguin, Paul",1848,1903,DreamShaper 3.2,"Painting, Oil, Portrait, France, 19th Century",
283,"Geddes, Jeremy",1974,,Deliberate 2.0,"Illustration, Painting, Oil, Covert Art, Author, New Zealand",
284,"Gentileschi, Artemisia",1593,1653,Deliberate 2.0,"Painting, Oil, Portrait, Baroque, Italy, 17th Century",
285,"Georgi, Edwin",1896,1964,DreamShaper 3.2,"Painting, Oil, Gouache, Watercolor, Portrait, Pin-Ups, USA",
286,"Gerard, Justin",,,DreamShaper 3.2,"Illustration, Fantasy, USA",
287,"Gerhartz, Daniel F.",1965,,Deliberate 2.0,"Painting, Oil, Portrait, USA",
288,"Ghailan, Atey",,,DreamShaper 3.2,"Illustration, Concept Art, Game Art, USA",
289,"Ghenie, Adrian",1977,,Deliberate 2.0,"Painting, Oil, Romania",
290,"Ghirlandaio, Domenico",1448,1494,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 15th Century",
291,"Giancola, Donato",1967,,DreamShaper 3.2,"Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, USA",512px + Highres. Fix
292,"Gibbons, Dave",1949,,Deliberate 2.0,"Illustration, Author, Comic, DC Comics, Marvel, Graphic Novel, Watchmen, UK",
293,"Gibson, Charles Dana",1867,1944,Deliberate 2.0,"Illustration, Ink, Cartoon, USA",
294,"Gibson, Ralph",1939,,Deliberate 2.0,"Photography, Portrait, USA",512px + Highres. Fix
295,"Giger, Hans Rudolf",1940,2014,Deliberate 2.0,"Painting, Oil, Concept Art, Cover Art, Horror, Switzerland",
296,"Gilleard, James",,,DreamShaper 3.2,"Illustration, Animation, Concept Art, UK",
297,"Gilliam, Sam",1933,2022,Deliberate 2.0,"Painting, Visual Arts, USA",
298,"Glackens, William James",1870,1938,Deliberate 2.0,"Illustration, Painting, USA, 19th Century",
299,"Glaser, Milton",1929,2020,Deliberate 2.0,"Illustration, Flat Style, USA",
300,"Goble, Warwick",1862,1943,Deliberate 2.0,"Illustration, Watercolor, Ink, Children's Book, UK, 19th Century",
301,"Gogos, Basil",1929,2017,DreamShaper 3.2,"Illustrator, Painting, Oil, Acrylic, Gouache, Portrait, Cover Art, Horror, Egypt, USA",wants to create basil leaves
302,"Goldin, Nan",1953,,Deliberate 2.0,"Photography, Portrait, USA",
303,"Gonsalves, Rob",1959,2017,Deliberate 2.0,"Painting, Oil, Acrylic, Surrealism, Canada",
304,"Gonzalez, Josan (Death Burger)",,,DreamShaper 3.2,"Illustration, Cocos Islands",
305,"Gordin, Misha",1946,2020,Deliberate 2.0,"Photography, Concept Art, B&W, Latvia",
306,"Gores, Derek",1971,,Deliberate 2.0,"Collage, USA",
307,"Gottardo, Alessandro (Shout)",1977,,Deliberate 2.0,"Illustration, Flat Style, Italy",DPM++ SDE Karras
308,"Grandville, J.J.",1803,1847,Deliberate 2.0,"Illustration, Painting, Lithography, France, 19th Century",
309,"Grant, Duncan",1885,1978,DreamShaper 3.2,"Painting, Oil, Portrait, Scotland, UK",
310,"Grasset, Eugène",1845,1917,Deliberate 2.0,"Illustration, Lithography, Art Nouveau, Switzerland, 19th Century",768px minimum
311,"Greasley, Laurie",,,Deliberate 2.0,"Illustration, Concept Art, Scotland, UK",
312,"Greenaway, Kate",1846,1901,Deliberate 2.0,"Illustration, Watercolor, Children's Book, UK, 19th Century",
313,"Grelle, Martin",1954,,Deliberate 2.0,"Painting, USA",
314,"Grey, Alex",1953,,Deliberate 2.0,"Painting, Oil, Psychedelic Art, USA",
315,"Gric, Peter",1968,,Deliberate 2.0,"Illustration, Painting, Horror, Czech Republic",
316,"Griffiths, Carne",1973,,Deliberate 2.0,"Painting, Ink, Portrait, UK",
317,"Grimly, Gris",1975,,Deliberate 2.0,"Author, Illustration, Children's Book, USA",
318,"Grimmer, Jordan",,,DreamShaper 3.2,"Concept Art, Game Art, UK",
319,"Grimshaw, John Atkinson",1836,1893,Deliberate 2.0,"Painting, Oil, Cityscape, UK, 19th Century",
320,"Gross, Alex",1968,,Deliberate 2.0,"Painting, Oil, Portrait, USA",hard to get anything besides upper body portraits
321,"Guangjian, Huang",,,DreamShaper 3.2,"Illustration, Concept Art, Game Art, China",
322,"Guay, Rebecca",,,DreamShaper 3.2,"Illustration, Fantasy, MTG, USA",
323,"Guay, Sam",,,DreamShaper 3.2,"Painting, Watercolor, Fantasy, MTG, USA","512px + Highres. Fix, had to use [from:to:when] for H.C."
324,"Guillaumin, Armand",1841,1927,Deliberate 2.0,"Painting, Oil,Portrait, Landscape, Still Life, Impressionism, France, 19th Century",
325,"Guillemin, Grégoire",1967,,DreamShaper 3.2,"Illustration, Painting, Pop-Art, France",
326,"Gutekunst, Saskia",,,Deliberate 2.0,"Illustration, Concept Art, Germany",
327,Guweiz (Zheng Wei Gu),,,DreamShaper 3.2,"Illustration, Portrait, Singapore",
328,"Hacker, Arthur",1858,1919,DreamShaper 3.2,"Painting, Oil, Portrait, UK, 19th Century",
329,"Haeckel, Ernst",1834,1919,Deliberate 2.0,"Illustration, Germany, 19th Century",
330,"Hamilton, Richard",1922,2011,Deliberate 2.0,"Painting, Oil, Acrylic, Collage, Pop-Art, UK",
331,"Hanson, Erin",1981,,DreamShaper 3.2,"Painting, Landscape, Oil, USA",
332,"Hanuka, Tomer",1974,,Deliberate 2.0,"Illustration, Israel",
333,"Hardy, David A.",1936,,DreamShaper 3.2,"Illustration, Painting, Sci-Fi, Cover Art, Landscape, UK",
334,"Haring, Keith",1958,1990,DreamShaper 3.2,"Illustration, Painting, Pop-Art, USA",
335,"Harper, Charley",1922,2007,DreamShaper 3.2,"Illustration, Flat Style, USA",512px + Highres. Fix
336,"Harrington, Conor",1980,,DreamShaper 3.2,"Painting, Oil, Grafitti, Portrait, Ireland",
337,"Harris, John",1948,,DreamShaper 3.2,"Illustration, Painting, Sci-Fi, Cover Art, UK",
338,"Harris, Lawren",1885,1970,DreamShaper 3.2,"Painting, Landscape, Oil, Canada",
339,"Hasui, Kawase",1883,1957,Deliberate 2.0,"Illustration, Woodcut, Japan",
340,"Hattori, Naoto",1975,,Deliberate 2.0,"Painting, Fantasy, Japan","512px + Highres. Fix, DPM2++ Karas, 40 Steps"
341,"Heem, Cornelis de",1631,1695,Deliberate 2.0,"Painting, Oil, Still Life, Botanical, 17th Century, Netherlands",
342,"Heighton, Brent",1954,,Deliberate 2.0,"Illustration, Painting, Oil, Watercolor, Cityscape, Canada",
343,"Herrero, Lowell",1921,2015,DreamShaper 3.2,"Painting, Oil, Naive Art, USA",
344,"Hess, F. Scott",1955,,DreamShaper 3.2,"Painting, Oil, Portrait, Realism, USA",
345,"Hickman, Stephen",1949,2021,DreamShaper 3.2,"Illustration, Fantasy, Sci-Fi, Cover Art, USA",
346,"Hiroshige, Utagawa",1797,1858,Deliberate 2.0,"Illustration, Woodcut, Japan, 19th Century",
347,"Hitch, Bryan",1970,,Deliberate 2.0,"Comic, DC Comics, Marvel, UK",
348,"Hodas, Filip",,,DreamShaper 3.2,"3D, Landscape, Czech Republic",
349,Hokusai (Katsushika Hokusai),1760,1849,Deliberate 2.0,"Painting, Ink, Woodblock Print, Japan, 18th Century",
350,"Holbein, Ambrosius",1494,1519,Deliberate 2.0,"Painting, Oil, Woodcut, Portrait, Mythology, Germany, 16th Century",seems different enough from Hans Holbein
351,"Holbein, Hans",1497,1543,Deliberate 2.0,"Painting, Oil, Portrait, Germany, 15th Century",
352,"Homer, Winslow",1836,1910,DreamShaper 3.2,"Illustration, Painting, Oil, Landscape, Realism, USA, 19th Century",
353,"Hong, Frank",,,DreamShaper 3.2,"Illustration, Concept Art, Game Art, Animation, Canada",
354,"Hooch, Pieter de",1629,1684,Deliberate 2.0,"Painting, Oil, Portrait, Netherlands, 17th Century","difficult to generate faces, Highres. Fix"
355,"Hopper, Edward",1882,1967,Deliberate 2.0,"Painting, Oil, Realism, USA",512px + Highres. Fix
356,"Horkey, Aaron",,,Deliberate 2.0,"Illustration, B&W, USA",
357,"Horley, Alex",1970,,Deliberate 2.0,"Illustration, Comic, Nudity, DC Comics, Marvel, Hearthstone, Cover Art, Game Art, USA","has problem with faces, DPM++ 2M Karras, Highres. Fix 512px -> 1024px, Denoising Strength 0.5"
358,"Hornel, Edward Atkinson",1864,1933,Deliberate 2.0,"Painting, Oil, Portrait, Scotland, UK, 19th Century",
359,"Howe, John",1957,,DreamShaper 3.2,"Illustration, Concept Art, Tolkien, Canada",
360,"Hoyland, John",1934,2011,DreamShaper 3.2,"Painting, Acrylic, Abstract, UK",
361,"Hue, Sebastien",,,Deliberate 2.0,"Illustration, Concept Art, France",
362,"Hughes, Adam",1967,,DreamShaper 3.2,"Illustration, Comic, DC Comics, Marvel, USA",
363,"Hughes, Edward Robert",1851,1914,Deliberate 2.0,"Painting, Oil, Watercolor, Tempera, Portrait, UK",
364,"Hurrell, George",1904,1992,Deliberate 2.0,"Photography, Portrait, B&W, USA",
365,"Hutter, Michael",1963,,Deliberate 2.0,"Illustration, Painting, Germany",
366,"Huynh, Duy",,,DreamShaper 3.2,"Painting, Acrylic, Surrealism, Vietnam, USA",
367,"Hyde, Catherine",1955,,Deliberate 2.0,"Illustration, USA",
368,"Höch, Hannah",1889,1978,Deliberate 2.0,"Painting, Oil, Tempera, Watercolor, Collage, Portrait, Dada, Germany",had to use [from:to:when] for H.C.
369,"Icart, Louis",1888,1950,Deliberate 2.0,"Illustration, Painting, France, 19th Century",
370,"Immonen, Stuart",,,Deliberate 2.0,"Comic, DC Comics, Marvel, Canada",512px + Highres. Fix
371,"Inceoglu, Ismail",,,DreamShaper 3.2,"Illustration, Concept Art, Fantasy, Bulgaria",
372,"Infantino, Carmine",1925,2013,Deliberate 2.0,"Comic, DC Comics, Marvel, USA",
373,"Ingpen, Robert",1936,,Deliberate 2.0,"Illustration, Children's Book, Australia",
374,"Ingres, Jean-Auguste-Dominique",1780,1867,Deliberate 2.0,"Painting, Oil, Portrait, Neoclassicism, Orientalism, France, 19th Century",
375,"Inoue, Takehiko",1967,,DreamShaper 3.2,"Illustration, Manga, Japan",
376,"Ishida, Sui",1986,,DreamShaper 3.2,"Illustration, Manga, Japan",
377,"Itten, Johannes",1888,1967,Deliberate 2.0,"Painting, Oil, Watercolor, Expressionism, Bauhaus, Switzerland",
378,"Itō, Junji",1963,,Deliberate 2.0,"Illustration, Manga, Horror, B&W, Japan",
379,"Jacinto, Jorge",,,DreamShaper 3.2,"Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, Portugal",
380,"Jacklin, Bill",1943,,DreamShaper 3.2,"Painting, Oil, Pastel, Portrait, Landscape, Still Life, UK",
381,"Jakubowski, Marcin",,,DreamShaper 3.2,"Illustration, Character Design, Concept Art, Poland",
382,"Jansson, Alexander",1977,,Deliberate 2.0,"Illustration, Sweden",
383,"Jasinski, Aaron",,,DreamShaper 3.2,"Illustration, Children's Book, Cover Art, USA",512px + Highres. Fix
384,"Jean, James",1979,,DreamShaper 3.2,"Illustration, Painting, Taiwan",
385,"Jeffers, Oliver",1977,,Deliberate 2.0,"Author, Illustration, Children's Book, Australia",
386,"Jewett, Ellen",,,DreamShaper 3.2,"Sculpture, Canada",
387,"Jia, Ruan",,,DreamShaper 3.2,"Illustration, Concept Art, Game Art, China",
388,"Jimenez, Phil",1970,,Deliberate 2.0,"Comic, DC Comics, USA",
389,"Johnstone, Dorothy",1892,1980,Deliberate 2.0,"Painting, Oil, Watercolor, Gouache, Portrait, Scotland, UK",
390,"Jones, (Android) Andrew",,,Deliberate 2.0,"Illustration, Concept Art, Game Art, USA",
391,"Jones, Jeffrey Catherine",1944,2011,Deliberate 2.0,"Illustration, Cover Art, USA",
392,"Jover, Loui",1967,,Deliberate 2.0,"Collage, Ink, B&W, Australia",
393,"Jullien, Jean",1983,,Deliberate 2.0,"Illustration, Flat Style, France",
394,"Jurgens, Mandy",,,Deliberate 2.0,"Illustration, Portrait, USA",
395,"Jusko, Joe",1959,,Deliberate 2.0,"Illustration, Comic, Fantasy, DC Comics, Marvel, USA",512px + Highres. Fix
396,"Kago, Shintarō",1969,,DreamShaper 3.2,"Illustration, Manga, Horror, Japan",
397,"Kahraman, Hayv",1981,,DreamShaper 3.2,"Painting, Oil, Portrait, Iraq, USA",
398,"Kaluta, Michael William",1947,,Deliberate 2.0,"Illustration, Comic, DC Comics, Marvel, Cover Art, Guatemala, USA",
399,"Kandinsky, Wassily",1866,1944,Deliberate 2.0,"Painting, Expressionism, Abstract, Russia",
400,"Kashin, Wadim",,,Deliberate 2.0,"Concept Art, Sci-Fi, Poland",
401,"Katz, Alex",1927,,Deliberate 2.0,"Painting, Pop-Art, USA",
402,"Kawasaki, Audrey",1982,,DreamShaper 3.2,"Illustration, Painting, Oil, Charcoal, Portrait, USA",
403,"Keane, Glen",1954,,DreamShaper 3.2,"Illustration, Animation, Disney, USA",
404,"Keever, Kim",1955,,Deliberate 2.0,"Photography, USA",
405,"Kehoe, Andy",,,Deliberate 2.0,"Illustration, Fantasy, USA",
406,"Kelly, Ken",1946,2022,Deliberate 2.0,"Painting, Fantasy, USA",512px + Highres. Fix
407,"Kelly-Freas, Frank",1922,2005,Deliberate 2.0,"Illustration, Painting, Fantasy, Sci-Fi, Cover Art, USA",
408,"Kentridge, William",1955,,DreamShaper 3.2,"Illustration, Charcoal, B&W, South Africa",
409,"Kesinger, Brian",1975,,Deliberate 2.0,"Illustration, Comic, Disney, USA",
410,"Ketner, Jeremiah",1974,,Deliberate 2.0,"Illustration, USA, Japan",
411,"Kiefer, Anselm",1945,,DreamShaper 3.2,"Painting, Oil, Acrylic, Germany",
412,"Kieth, Sam",1963,,Deliberate 2.0,"Comic, DC Comics, USA",
413,"Kim, Jung-Gi",1975,2022,Deliberate 2.0,"Illustration, B&W, South Korea",
414,"Kinkade, Thomas",1958,2012,Deliberate 2.0,"Painting, Oil, USA",
415,"Kirby, Jack",1917,1994,Deliberate 2.0,"Comic, DC Comics, Marvel, USA",
416,"Kirchner, Ernst Ludwig",1880,1938,Deliberate 2.0,"Painting, Oil, Portrait, Landscape, Expressionism, Germany",
417,"Kirchner, Raphael",1875,1917,Deliberate 2.0,"Illustration, Painting, Art Nouveau, Austria, 19th Century",
418,"Kiuchi, Tatsuro",1966,,Deliberate 2.0,"Illustration, Painting, Japan",
419,"Klarwein, Abdul Mati",1932,2002,DreamShaper 3.2,"Painting, Oil, Portrait, Cover Art, Surrealism, Germany, France",
420,"Klassen, Jon",1981,,DreamShaper 3.2,"Illustration, Animation, Children's Book, Canada",512px + Highres. Fix
421,"Klee, Paul",1879,1940,DreamShaper 3.2,"Painting, Oil, Watercolor, Expressionism, Bauhaus, Switzerland",had to use [from:to:when] for H.C.
422,"Klimt, Gustav",1862,1918,Deliberate 2.0,"Painting, Oil, Symbolism, Art Nouveau, Austria, 19th Century",
423,"Klint, Hilma af",1862,1944,DreamShaper 3.2,"Painting, Oil, Watercolor, Abstract, Symbolism, Sweden",
424,"Knab, Ferdinand",1834,1902,Deliberate 2.0,"Painting, Oil, Architecture, Germany, 19th Century",512px + Highres. Fix
425,"Knight, Nick",1958,,Deliberate 2.0,"Photography, Fashion, UK",
426,"Knights, Winifred Margaret",1899,1947,DreamShaper 3.2,"Painting, Oil, Naive Art, UK",
427,"Kojima, Ayami",,,DreamShaper 3.2,"Illustration, Character Design, Concept Art, Konami, Japan",
428,"Kokoschka, Oskar",1886,1980,DreamShaper 3.2,"Painting, Oil, Portrait, Landscape, Expressionism, Austria",
429,"Kollwitz, Käthe",1867,1945,DreamShaper 3.2,"Painting, Lithography, Expressionism, B&W, Sculpture, Germany",
430,"Kon, Satoshi",1963,2010,DreamShaper 3.2,"Anime, Japan",
431,"Kooning, Willem de",1904,1997,Deliberate 2.0,"Painting, Oil, Abstract, Expressionism, Netherlands, USA",
432,"Koons, Jeff",1955,,Deliberate 2.0,"Sculpture, Postmodernism, USA",had to use [from:to:when] for H.C.
433,"Koson, Ohara",1877,1945,Deliberate 2.0,"Illustration, Painting, Japan",
434,"Kotak, Bella",,,DreamShaper 3.2,"Photography, Portrait, UK",
435,"Krishnamani, Ranganath",,,Deliberate 2.0,"Illustration, Flat Style, India",
436,"Krull, Germaine",1897,1985,Deliberate 2.0,"Photography, Portrait, B&W, Germany",
437,"Kubin, Alfred",1877,1959,DreamShaper 3.2,"Author, Illustration, Expressionism, Symbolism, B&W, Austria, Hungary",
438,"Kuciara, Maciej",1984,,DreamShaper 3.2,"Illustration, Concept Art, Sci-Fi, Game Art, Poland",
439,"Kunisada, Utagawa",1786,1865,Deliberate 2.0,"Drawing, Portrait, Woodcut, Japan, 19th Century",
440,"Kurtzman, Harvey",1924,1993,Deliberate 2.0,"Comic, Mad Magazine, USA",
441,"Kusama, Yayoi",1929,,Deliberate 2.0,"Painting, Sculpture, Pattern, Pop-Art, Japan",
442,"Kutsche, Michael",,,DreamShaper 3.2,"Illustration, Character Design, Fantasy, Germany",512px + Highres. Fix
443,"Kuvshinov, Ilya",1990,,DreamShaper 3.2,"Illustration, Animation, Character Design, Russia",
444,"LaChapelle, David",1963,,DreamShaper 3.2,"Photography, Portrait, USA",512px + Highres. Fix
445,"Lacoste, Raphael",1974,,Deliberate 2.0,"Illustration, Concept Art, Game Art, France",
446,"Lagerstedt, Mikko",,,Deliberate 2.0,"Photography, Landscape, Finland",
447,"Lane, Fitz Henry",1804,1865,DreamShaper 3.2,"Painting, Oil, Landscape, Marine, USA, 19th Century",
448,"Larson, Abigail",,,DreamShaper 3.2,"Illustration, Character Design, Watercolor, Ink, Gothic, USA",
449,"Larson, Gary",1950,,Deliberate 2.0,"Author, Illustration, Comic, Cartoon, USA",
450,"Larsson, Carl",1853,1919,DreamShaper 3.2,"Illustration, Watercolor, Sweden, 19th Century",
451,"Lassnig, Maria",1919,2014,DreamShaper 3.2,"Painting, Oil, Portrait, Austria",
452,"Lawrence, Don",1928,2003,DreamShaper 3.2,"Comic, Watercolor, Gouache, UK",
453,"Lecouffe-Deharme, Bastien",1982,,DreamShaper 3.2,"Illustration, Sci-Fi, Fantasy, France",
454,"Lee, Alan",1947,,DreamShaper 3.2,"Illustration, Concept Art, Tolkien, UK",
455,"Lee, Jae",1972,,Deliberate 2.0,"Comic, DC Comics, Marvel, USA",
456,"Lee, Jim",1964,,Deliberate 2.0,"Comic, DC Comics, Marvel, South Korea, USA",
457,"Lehr, Paul",1930,1998,DreamShaper 3.2,"Illustration, Sci-Fi, Cover Art, USA",
458,"Lemire, Jeff",1976,,Deliberate 2.0,"Illustration, Watercolor, Comic, DC Comics, Marvel, USA",
459,"Lentulov, Aristarkh",1882,1943,DreamShaper 3.2,"Painting, Oil, Cubism, Russia",
460,"Leyendecker, Joseph Christian",1874,1951,Deliberate 2.0,"Illustration, Art Nouveau, Cover Art, Germany, 19th Century",
461,"Lhote, André",1885,1962,Deliberate 2.0,"Painting, Oil, Gouache, Portrait, Landscape, Cubism, France",
462,"Lichtenstein, Roy",1923,1997,DreamShaper 3.2,"Painting, Pop-Art, USA",
463,"Liefeld, Rob",1967,,Deliberate 2.0,"Comic, DC Comics, Marvel, USA",
464,"Lindner, Richard",1901,1978,Deliberate 2.0,"Illustration, Painting, Lithography, Pop-Art, Germany, USA",
465,Liniers,1973,,Deliberate 2.0,"Illustration, Comic, Cartoon, Argentina",512px + Highres. Fix
466,"Lippi, Filippino",1457,1504,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 15th Century",
467,"Lipton, Laurie",1953,,Deliberate 2.0,"Illustration, Pencil, Portrait, B&W, USA",
468,"Lismer, Arthur",1885,1969,Deliberate 2.0,"Painting, Landscape, Oil, Canada",
469,"Lisowski, Michal",,,Deliberate 2.0,"Concept Art, Game Art, Poland",
470,"Listfield, Scott",1976,,DreamShaper 3.2,"Painting, Oil, USA",
471,"Loftis, Cory",,,Deliberate 2.0,"Illustration, Animation, Character Design, Disney, USA",
472,Loish (Lois van Baarle),1985,,DreamShaper 3.2,"Illustration, Character Design, Concept Art, Portrait, Netherlands",
473,"Loomis, Andrew",1892,1959,DreamShaper 3.2,"Illustration, Painting, USA",
474,"Lourenço, Didier",1968,,Deliberate 2.0,"Painting, Lithography, Spain",
475,"Lovecraft, H.P.",1890,1937,DreamShaper 3.2,"Author, Horror, USA",
476,"Lovell, Tom",1909,1997,Deliberate 2.0,"Illustration, Painting, USA",
477,"Luce, Maximilien",1858,1941,Deliberate 2.0,"Painting, Oil, Pointillism, France",
478,"MacDonald Mackintosh, Margaret",1864,1933,Deliberate 2.0,"Illustration, Watercolor, Ink, Art Nouveau, UK, 19th Century",
479,"MacDonald McNair, Frances",1873,1921,Deliberate 2.0,"Illustration, Watercolor, Ink, Art Nouveau, UK, 19th Century",
480,"MacNicol, Bessie (Elizabeth)",1869,1904,Deliberate 2.0,"Painting, Oil, Portrait, Scotland, UK, 19th Century",
481,"Macara, Andrew",1944,,DreamShaper 3.2,"Painting, Oil, UK",
482,"Macke, August",1887,1914,DreamShaper 3.2,"Painting, Oil, Watercolor, Portrait, Landscape, Expressionism, Germany",
483,"Mahfood, Jim (Food One)",1975,,DreamShaper 3.2,"Comic, USA",
484,"Makart, Hans",1840,1884,DreamShaper 3.2,"Painting, Oil, Orientalism, Austria, 19th Century",
485,"Maleew, Alex",1971,,DreamShaper 3.2,"Illustration, Comic, DC Comics, Marvel, Bulgaria",
486,"Maller, Justin",,,Deliberate 2.0,"Illustration, Australia",
487,"Manara, Milo",1945,,DreamShaper 3.2,"Illustration, Watercolor, Acrylic, Comic, Graphic Novel, Nudity, Italy",potentially NSFW (Deliberate is with that prompt)
488,"Manchess, Gregory",1955,,DreamShaper 3.2,"Illustration, Painting, Oil, Cover Art, USA",
489,"Maniak, Slawomir",,,Deliberate 2.0,"Illustration, Concept Art, Cover Art, Fantasy, MTG, Poland",
490,"Mann, Jeremy",1979,,DreamShaper 3.2,"Painting, Oil, USA",
491,"Manoukian, Stan",1969,,DreamShaper 3.2,"Illustration, Fantasy, France",
492,"Mantegna, Andrea",1431,1506,Deliberate 2.0,"Painting, Oil, Tempera, Portrait, Mythology, Italy, 15th Century",
493,"Manutius, Aldus",1449,1515,Deliberate 2.0,"Printer, Woodcut, Engraving, Italy, 15th Century","start with 768px = better/finer details, used DPM++ SDE Karras"
494,"Maroto, Esteban",1942,,Deliberate 2.0,"Illustration, Comic, DC Comics, Marvel, Spain",
495,"Mars, Chris",1961,,DreamShaper 3.2,"Painting, Oil, Pastel, Cover Art, Horror, USA",
496,"Martin, John",1789,1854,DreamShaper 3.2,"Painting, Oil, UK",
497,"Martinière, Stephan",1962,,DreamShaper 3.2,"Illustration, Concept Art, Fantasy, Sci-Fi, France",
498,"Masereel, Frans",1889,1972,Deliberate 2.0,"Painting, Woodcut, B&W, Belgium",512px + Highres. Fix
499,"Mashburn, Brian",,,Deliberate 2.0,"Painting, Ink, Gouache, Watercolor, Landscape, USA",
500,"Masson, André",1896,1987,Deliberate 2.0,"Painting, Oil, Cubism, Surrealism, USA",
501,"Matisse, Henri",1869,1954,DreamShaper 3.2,"Painting, Oil, Gouache, France",
502,"Matthews, Rodney",1945,,Deliberate 2.0,"Illustration, Fantasy, UK",
503,"Mattingly, David",1956,,Deliberate 2.0,"Illustration, Painting, Fantasy, Sci-Fi, Cover Art, USA",
504,"Matutina, Dan",,,Deliberate 2.0,"Illustration, Philippines",
505,"Mayhew, Mike",1969,,DreamShaper 3.2,"Illustration, Comic, DC Comics, Marvel, Cover Art, USA",
506,"McAllister, Cathleen",,,DreamShaper 3.2,"Illustration, Character Design, Concept Art, Game Art, Covert Art, Animation, USA",
507,"McCall, Robert T.",1919,2010,Deliberate 2.0,"Illustration, Painting, Sci-Fi, Cover Art, USA",
508,"McCarthy, Frank",1924,2002,DreamShaper 3.2,"Illustration, Painting, USA",
509,"McCay, Winsor",1869,1934,DreamShaper 3.2,"Illustration, Comic, Cartoon, Architecture, USA",
510,"McCubbin, Frederick",1855,1917,Deliberate 2.0,"Painting, Oil, Landscape, Australia, 19th Century",
511,"McFarlane, Todd",1961,,DreamShaper 3.2,"Comic, DC Comics, Marvel, Canada",
512,"McGee, Barry",1966,,DreamShaper 3.2,"Illustration, Grafitti, Street Art, Sculpture, USA",512px + Highres. Fix
513,"McKean, Dave",1963,,DreamShaper 3.2,"Illustration, Comic, Children's Book, UK",
514,"McKie, Angus",1951,,DreamShaper 3.2,"Illustration, Sci-Fi, Cover Art, UK",
515,"McKinnon, Seb",,,Deliberate 2.0,"Illustration, Fantasy, MTG, Canada",
516,"McPharlin, Dan",,,DreamShaper 3.2,"Illustration, Concept Art, Sci-Fi, Cover Art, Surrealism, Australia",
517,"McPherson, Tara",1976,,DreamShaper 3.2,"Illustration, Painting, USA",
518,"McQuarrie, Ralph Angus",1929,2012,Deliberate 2.0,"Concept Art, Sci-Fi, Star Wars, USA",
519,"McQue, Ian",,,DreamShaper 3.2,"Illustration, Concept Art, Sci-Fi, Game Art, Scotland, UK",
520,"Mead, Syd",1933,2019,DreamShaper 3.2,"Industrial Design, Concept Art, Sci-Fi, USA",
521,"Mell, Ed",1942,,Deliberate 2.0,"Painting, Oil, Landscape, USA",
522,"Memling, Hans",1430,1494,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Germany, 15th Century",
